p_key_hourly,date_key,time_key,CityId,timezone,temp,temp_min,temp_max,pressure,humidity,visibility,speed,deg,gust,is_forecasted_data
20230608 13-1282898,20230608,13,1282898,20700,28.79,28.79,28.79,1002,27,10000,3.22,357,3.25,FALSE
20230608 13-1283582,20230608,13,1283582,20700,36.61,36.61,36.61,996,23,10000,3.84,116,6.91,FALSE
20230608 13-1283378,20230608,13,1283378,20700,27.07,27.07,27.07,1000,22,10000,1.22,53,1.54,FALSE
20230608 13-1282682,20230608,13,1282682,20700,28.8,28.12,28.8,1009,48,8000,3.6,200,null,FALSE
20230608 13-1282946,20230608,13,1282946,20700,28.64,27.96,28.64,1009,48,8000,3.6,200,null,FALSE
20230608 15-1282946,20230608,15,1282946,20700,25.86,24.96,25.86,1010,56,8000,3.6,90,null,FALSE
20230608 15-1283582,20230608,15,1283582,20700,34.69,34.69,34.69,998,27,10000,2.41,87,3.9,FALSE
20230608 15-1283378,20230608,15,1283378,20700,25.36,25.36,25.36,1001,25,10000,1.41,45,1.62,FALSE
20230608 15-1282898,20230608,15,1282898,20700,26.96,26.96,26.96,1004,29,10000,3.49,359,3.29,FALSE
20230608 15-1282682,20230608,15,1282682,20700,26.02,25.12,26.02,1010,56,8000,3.6,90,null,FALSE
20230608 12-1282682,20230608,12,1282682,20700,29.91,29.91,30.12,1008,44,8000,3.6,290,null,FALSE
20230608 12-1283582,20230608,12,1283582,20700,38.64,38.64,38.64,996,19,10000,4,131,6.57,FALSE
20230608 12-1282946,20230608,12,1282946,20700,29.75,29.75,29.96,1008,44,8000,3.6,290,null,FALSE
20230608 12-1282898,20230608,12,1282898,20700,30.46,30.46,30.46,1002,26,10000,2.4,355,2.16,FALSE
20230608 12-1283378,20230608,12,1283378,20700,28.38,28.38,28.38,999,21,10000,0.89,132,1.19,FALSE
20230608 11-1282682,20230608,11,1282682,20700,30.47,30.12,30.47,1007,40,8000,3.6,290,null,FALSE
20230608 11-1282898,20230608,11,1282898,20700,33.72,33.72,33.72,1001,21,10000,2.47,7,3.1,FALSE
20230608 11-1283378,20230608,11,1283378,20700,32.64,32.64,32.64,998,16,10000,2.9,189,4.1,FALSE
20230608 11-1282946,20230608,11,1282946,20700,30.31,29.96,30.31,1007,40,8000,3.6,290,null,FALSE
20230608 11-1283582,20230608,11,1283582,20700,42.6,42.6,42.6,995,15,10000,4.24,133,3.8,FALSE
20230608 14-1283378,20230608,14,1283378,20700,26.04,26.04,26.04,1000,24,10000,1.45,44,1.52,FALSE
20230608 14-1282898,20230608,14,1282898,20700,28.1,28.1,28.1,1003,27,10000,3.21,359,3.27,FALSE
20230608 14-1282946,20230608,14,1282946,20700,26.97,26.96,26.97,1009,53,8000,3.6,100,null,FALSE
20230608 14-1283582,20230608,14,1283582,20700,35.17,35.17,35.17,997,25,10000,2.95,101,4.37,FALSE
20230608 14-1282682,20230608,14,1282682,20700,27.13,27.12,27.13,1009,53,8000,3.6,100,null,FALSE
20230608 10-1282898,20230608,10,1282898,20700,36.01,36.01,36.01,1000,17,10000,2.33,7,2.85,FALSE
20230608 10-1283582,20230608,10,1283582,20700,44.2,44.2,44.2,994,13,10000,2.08,124,2.81,FALSE
20230608 10-1282682,20230608,10,1282682,20700,30.47,30.47,31.12,1008,41,8000,4.12,280,null,FALSE
20230608 10-1282946,20230608,10,1282946,20700,30.31,30.31,30.96,1007,41,8000,4.12,280,null,FALSE
20230608 10-1283378,20230608,10,1283378,20700,34.68,34.68,34.68,997,14,10000,5.33,202,3.56,FALSE
20230608 16-1282898,20230608,16,1282898,20700,30.67333333,30.67333333,30.67333333,1002,24.5,10000,2.853333333,240.6666667,2.986666667,TRUE
20230608 16-1283582,20230608,16,1283582,20700,38.65166667,38.65166667,38.65166667,996,20.33333333,10000,3.253333333,115.3333333,4.726666667,TRUE
20230608 16-1282682,20230608,16,1282682,20700,28.8,28.47666667,28.94333333,1008.5,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1282946,20230608,16,1282946,20700,28.64,28.31666667,28.78333333,1008.333333,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1283378,20230608,16,1283378,20700,29.02833333,29.02833333,29.02833333,999.1666667,20.33333333,10000,2.2,110.8333333,2.255,TRUE
20230608 16-1282898,20230608,16,1282898,20700,30.67333333,30.67333333,30.67333333,1002,24.5,10000,2.853333333,240.6666667,2.986666667,TRUE
20230608 16-1283582,20230608,16,1283582,20700,38.65166667,38.65166667,38.65166667,996,20.33333333,10000,3.253333333,115.3333333,4.726666667,TRUE
20230608 16-1282682,20230608,16,1282682,20700,28.8,28.47666667,28.94333333,1008.5,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1282946,20230608,16,1282946,20700,28.64,28.31666667,28.78333333,1008.333333,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1283378,20230608,16,1283378,20700,29.02833333,29.02833333,29.02833333,999.1666667,20.33333333,10000,2.2,110.8333333,2.255,TRUE
20230608 16-1282898,20230608,16,1282898,20700,30.67333333,30.67333333,30.67333333,1002,24.5,10000,2.853333333,240.6666667,2.986666667,TRUE
20230608 16-1283582,20230608,16,1283582,20700,38.65166667,38.65166667,38.65166667,996,20.33333333,10000,3.253333333,115.3333333,4.726666667,TRUE
20230608 16-1282682,20230608,16,1282682,20700,28.8,28.47666667,28.94333333,1008.5,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1282946,20230608,16,1282946,20700,28.64,28.31666667,28.78333333,1008.333333,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1283378,20230608,16,1283378,20700,29.02833333,29.02833333,29.02833333,999.1666667,20.33333333,10000,2.2,110.8333333,2.255,TRUE
20230608 16-1282898,20230608,16,1282898,20700,30.67333333,30.67333333,30.67333333,1002,24.5,10000,2.853333333,240.6666667,2.986666667,TRUE
20230608 16-1283582,20230608,16,1283582,20700,38.65166667,38.65166667,38.65166667,996,20.33333333,10000,3.253333333,115.3333333,4.726666667,TRUE
20230608 16-1282682,20230608,16,1282682,20700,28.8,28.47666667,28.94333333,1008.5,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1282946,20230608,16,1282946,20700,28.64,28.31666667,28.78333333,1008.333333,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1283378,20230608,16,1283378,20700,29.02833333,29.02833333,29.02833333,999.1666667,20.33333333,10000,2.2,110.8333333,2.255,TRUE
20230608 16-1282898,20230608,16,1282898,20700,30.67333333,30.67333333,30.67333333,1002,24.5,10000,2.853333333,240.6666667,2.986666667,TRUE
20230608 16-1283582,20230608,16,1283582,20700,38.65166667,38.65166667,38.65166667,996,20.33333333,10000,3.253333333,115.3333333,4.726666667,TRUE
20230608 16-1282682,20230608,16,1282682,20700,28.8,28.47666667,28.94333333,1008.5,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1282946,20230608,16,1282946,20700,28.64,28.31666667,28.78333333,1008.333333,47,8000,3.686666667,208.3333333,null,TRUE
20230608 16-1283378,20230608,16,1283378,20700,29.02833333,29.02833333,29.02833333,999.1666667,20.33333333,10000,2.2,110.8333333,2.255,TRUE
